recording_id,source_id,azimuth,vertical_elevation,horizontal_elevation
182,71,85,-30,0
182,83,15,-30,0
183,8,10,30,0
183,17,345,30,0
183,30,115,0,0
183,60,270,30,0
183,82,145,-30,0
183,100,225,0,0
183,112,210,-30,0
183,120,75,-30,0
184,23,325,0,0
184,29,34,0,0
184,52,165,30,0
184,63,195,30,0
184,67,250,-30,0
184,86,110,0,0
184,93,45,-30,0
184,102,315,30,0
185,29,240,30,0
185,39,345,-30,0
185,54,21,-30,0
185,56,145,0,0
185,62,85,0,0
185,70,290,-30,0
185,84,202,0,0
185,87,10,30,0
185,90,125,30,0
186,21,75,0,0
186,57,291,-30,0
186,63,140,0,0
186,74,15,-30,0
186,79,215,30,0
186,86,5,30,0
186,89,235,0,0
186,97,130,30,0
186,109,345,-30,0
187,34,0,0,0
187,36,285,0,0
187,47,135,-30,0
187,52,210,30,0
187,66,150,30,0
187,84,75,30,0
187,87,15,0,0
187,93,0,-30,0
187,105,225,-30,0
188,7,313,2,0
188,13,255,-30,0
188,16,45,30,0
188,26,165,-30,0
188,50,270,30,0
188,68,200,30,0
188,80,325,-30,0
188,94,145,0,0
188,109,75,0,0
189,2,120,-30,0
189,18,240,30,0
189,21,291,0,0
189,34,175,-30,0
189,47,105,0,0
189,64,345,0,0
189,66,21,30,0
189,82,32,0,0
189,107,275,30,0
189,123,213,-29,0
190,1,115,-30,0
190,41,205,30,0
190,48,300,-30,0
190,64,105,0,0
190,70,21,30,0
190,83,227,-2,0
190,98,345,0,0
190,104,32,0,0
190,118,175,-30,0
190,122,290,30,0
191,32,55,0,0
191,39,155,0,0
191,53,245,30,0
191,59,10,30,0
191,62,135,-30,0
191,67,325,0,0
191,83,265,-30,0
191,91,80,30,0
191,106,315,-30,0
191,114,190,-30,0
192,21,230,0,0
192,50,33,-29,0
192,64,280,30,0
192,70,95,0,0
192,82,105,-30,0
192,86,220,30,0
192,96,295,-30,0
192,103,159,30,0
192,111,355,-30,0
192,120,65,0,0
193,2,170,30,0
193,98,245,-30,0
193,125,343,0,0
194,16,230,30,0
194,46,40,-30,0
194,104,85,0,0
195,14,205,0,0
195,40,20,30,0
195,87,55,-30,0
196,50,75,30,0
196,56,251,0,0
196,82,30,-30,0
197,29,320,-30,0
197,119,240,0,0
197,124,100,30,0
